Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,AgeofCar,Brand
2012,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,8064.52,12,Toyota
2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,14934.29,11,Mahindra
2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,13739.55,14,Audi
2014,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,8339.31,10,Volkswagen
2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,2210.27,15,Maruti
2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,10310.63,6,Maruti
2017,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,5794.5,7,Mahindra
2013,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,33452.81,11,Mercedes-Benz
2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,5973.72,11,Volkswagen
2008,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1493.43,16,Maruti
2014,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,1827.96,10,Tata
2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,6666.67,7,Mahindra
2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,5663.08,10,Hyundai
2014,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,10573.48,10,Hyundai
2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,12078.85,8,Toyota
2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,5077.66,16,Hyundai
2012,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,13082.44,12,Toyota
2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,4599.76,10,Hyundai
2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,6571.09,12,Mahindra
2015,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,25603.35,9,Audi
2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,5077.66,10,Maruti
2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,3942.65,10,Maruti
2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,4599.76,11,Maruti
2015,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,4301.08,9,Hyundai
2015,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,4767.03,9,Volkswagen
2017,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,3942.65,7,Renault
2010,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2473.12,14,Hyundai
2010,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,9259.26,14,Nissan
2010,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,2688.17,14,Maruti
2017,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,19713.26,7,Toyota
2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,3285.54,14,Ford
2015,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,31899.64,9,Mercedes-Benz
2011,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,11947.43,13,Mercedes-Benz
2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,2986.86,8,Tata
2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,16129.03,12,Audi
2007,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,2210.27,17,Honda
2019,15369,Diesel,Automatic,First,18.342252479408305,1950.0,194.0,5.0,42616.49,5,Mercedes-Benz
2016,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,9737.16,8,Maruti
2018,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,12544.8,6,Hyundai
2008,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,17323.78,16,Porsche
2015,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,11529.27,9,Mahindra
2012,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,4157.71,12,Hyundai
2015,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,8267.62,9,Nissan
2016,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,7718.04,8,Honda
2014,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,35244.92,10,Audi
2008,111111,Diesel,Manual,First,17.8,1399.0,113.27220292815797,5.0,2389.49,16,Ford
2006,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,5376.34,18,Toyota
2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,14038.23,12,Toyota
2005,87591,Petrol,Manual,First,18.342252479408305,1086.0,113.27220292815797,5.0,1553.17,19,Hyundai
2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,4480.29,12,Maruti
2017,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,5376.34,7,Tata
2016,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,5758.66,8,Honda
2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,3345.28,12,Ford
2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3715.65,11,Maruti
2009,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,3882.92,15,Honda
2011,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,16606.93,13,BMW
2009,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2688.17,15,Hyundai
2016,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,6869.77,8,Hyundai
2007,73745,Petrol,Manual,First,17.0,1086.0,113.27220292815797,5.0,2508.96,17,Hyundai
2016,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,5973.72,8,Honda
2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,19713.26,10,Toyota
2018,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,47287.93,6,Audi
2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,6571.09,11,Ford
2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9677.42,10,Mahindra
2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,4181.6,9,Honda
2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3333.33,11,Volkswagen
2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,4121.86,14,Hyundai
2016,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,5316.61,8,Maruti
2010,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,3166.07,14,Volkswagen
2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,4540.02,13,Hyundai
2014,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,5555.56,10,Hyundai
2017,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,4719.24,7,Datsun
2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,11708.48,14,Audi
2009,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,3225.81,15,Hyundai
2010,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,2879.33,14,Maruti
2014,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,4659.5,10,Toyota
2011,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,28673.84,13,Jaguar
2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,6869.77,12,Mahindra
2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,6272.4,10,Hyundai
2017,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,22998.81,7,Toyota
2017,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,4671.45,7,Maruti
2014,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,2568.7,10,Tata
2015,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,24790.92,9,BMW
2010,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,4002.39,14,Honda
2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,13273.6,10,Toyota
2014,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,23894.86,10,Volvo
2016,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,7825.57,8,Nissan
2009,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,8363.2,15,BMW
2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,8960.57,8,Maruti
2005,102000,Petrol,Manual,Second,17.0,1086.0,113.27220292815797,5.0,1015.53,19,Hyundai
2014,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,20011.95,10,Mercedes-Benz
2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,13082.44,6,Hyundai
2011,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,2927.12,13,Maruti
2017,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,3859.02,7,Tata
2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,9259.26,10,Mahindra
2009,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,11170.85,15,Mercedes-Benz
2013,89900,CNG,Manual,First,26.6,998.0,58.16,5.0,3882.92,11,Maruti
2007,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,6272.4,17,Honda
2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,8661.89,9,Volkswagen
2017,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,8924.73,7,Maruti
2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,15830.35,8,Mahindra
2016,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,6941.46,8,Maruti
2014,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,3106.33,10,Maruti
2017,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,64516.13,7,Mercedes-Benz
2019,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,13739.55,5,Hyundai
2010,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1911.59,14,Maruti
2015,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,20573.48,9,BMW
2015,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,7168.46,9,Honda
2012,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,4719.24,12,Honda
2014,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,21445.64,10,Mercedes-Benz
2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,4420.55,10,Honda
2016,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,6487.46,8,Maruti
2008,80759,Petrol,Manual,Third,17.0,1086.0,113.27220292815797,5.0,1995.22,16,Hyundai
2012,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,16117.08,12,Toyota
2014,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,3405.02,10,Chevrolet
2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,5675.03,11,Skoda
2018,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,11827.96,6,Maruti
2013,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,44205.5,11,Audi
2014,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,31660.69,10,BMW
2015,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,27861.41,9,Audi
2016,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,7467.14,8,Maruti
2010,35277,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,35842.29,14,Mercedes-Benz
2016,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,11780.17,8,Skoda
2012,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,10155.32,12,Skoda
2019,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,5053.76,5,Hyundai
2012,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4181.6,12,Volkswagen
2016,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,2986.86,8,Datsun
2013,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,2855.44,11,Honda
2013,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,13440.86,11,Mercedes-Benz
2015,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,8494.62,9,Honda
2016,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,13022.7,8,Toyota
2017,24005,Petrol,Manual,First,20.4,1197.0,81.8,5.0,7407.41,7,Maruti
2012,32792,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9438.47,12,Mahindra
2014,147898,Diesel,Manual,First,22.7,1498.0,89.84,5.0,5280.76,10,Ford
2012,131765,Diesel,Manual,First,13.0,2982.0,168.5,7.0,16129.03,12,Toyota
2013,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,7467.14,11,Volkswagen
2010,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,2508.96,14,Ford
2015,41000,Diesel,Automatic,First,15.3,2993.0,258.0,5.0,53763.44,9,BMW
2017,23550,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,40215.05,7,Mercedes-Benz
2012,45000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,4360.81,12,Honda
2013,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3285.54,11,Hyundai
2016,44414,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,50776.58,8,Mercedes-Benz
2019,1000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,7765.83,5,Hyundai
2012,62500,Diesel,Automatic,Second,17.68,1968.0,174.33,5.0,22700.12,12,Audi
2013,21000,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,5316.61,11,Volkswagen
2017,8525,Diesel,Automatic,Second,16.6,1998.0,112.0,5.0,27479.09,7,Mini Cooper
2014,29000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,9976.11,10,Hyundai
2014,40000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,27419.35,10,Audi
2012,88000,Diesel,Manual,First,25.44,936.0,57.6,5.0,1792.11,12,Chevrolet
2012,53537,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,8231.78,12,Skoda
2006,216000,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,1732.38,18,Ford
2014,51000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,40023.89,10,BMW
2007,118500,Petrol,Manual,First,12.9,1598.0,102.5,5.0,1493.43,17,Chevrolet
2012,63000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,5017.92,12,Volkswagen
2015,25000,Diesel,Manual,First,19.98,1461.0,108.5,8.0,8064.52,9,Renault
2014,37382,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,38231.78,10,Mercedes-Benz
2017,24773,Petrol,Manual,First,21.4,1197.0,83.1,5.0,8960.57,7,Maruti
2012,62000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,5495.82,12,Hyundai
2017,52340,Petrol,Manual,First,19.81,1086.0,68.05,5.0,4826.76,7,Hyundai
2016,56739,Diesel,Manual,First,15.4,1997.0,120.0,7.0,12317.8,8,Mahindra
2018,36091,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,66618.88,6,Land Rover
2010,120000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,3106.33,14,Ford
2016,33000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,10155.32,8,Maruti
2007,60006,Petrol,Manual,First,18.342252479408305,1621.5059354622972,113.27220292815797,5.0,3524.49,17,Honda
2014,52000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,4181.6,10,Honda
2015,43571,Petrol,Manual,First,20.36,1197.0,78.9,5.0,4241.34,9,Hyundai
2013,50000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3882.92,11,Honda
2008,113000,Diesel,Manual,First,17.5,1896.0,106.0,5.0,5376.34,16,Skoda
2014,90000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,6391.88,10,Renault
2017,29000,Diesel,Manual,Second,17.45,1493.0,100.0,7.0,7765.83,7,Mahindra
2016,20000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,10752.69,8,Maruti
2016,61012,Petrol,Manual,First,18.6,1197.0,81.83,5.0,7168.46,8,Hyundai
2009,87459,Petrol,Manual,First,14.7,1390.0,85.0,5.0,3285.54,15,Skoda
2010,70500,Petrol,Manual,First,15.64,1193.0,64.1,5.0,1792.11,14,Tata
2015,64103,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,23775.39,9,Audi
2014,76000,Petrol,Automatic,First,14.7,1798.0,177.5,5.0,11947.43,10,Skoda
2014,104000,Diesel,Manual,First,23.59,1364.0,67.06,5.0,3584.23,10,Toyota
2010,42001,Petrol,Manual,First,16.1,1621.5059354622972,113.27220292815797,5.0,2520.91,14,Maruti
2014,37245,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,14289.13,10,Mercedes-Benz
2013,45000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,3882.92,11,Honda
2012,117837,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,5675.03,12,Hyundai
2014,30000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,7108.72,10,Renault
2015,27057,Petrol,Manual,Second,15.29,1591.0,121.3,5.0,9737.16,9,Hyundai
2016,8500,Petrol,Automatic,First,20.51,998.0,67.0,5.0,5041.82,8,Maruti
2010,30500,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,12544.8,14,Mercedes-Benz
2012,56000,Diesel,Automatic,First,11.8,2967.0,246.7,5.0,53763.44,12,Audi
2012,44000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,3464.76,12,Hyundai
2017,10500,Petrol,Automatic,First,14.3,1598.0,103.52,5.0,10633.21,7,Skoda
2017,26000,Petrol,Automatic,First,14.67,1798.0,177.46,5.0,31063.32,7,Skoda
2018,25166,Petrol,Manual,First,17.19,1197.0,81.86,5.0,9820.79,6,Hyundai
2014,64000,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,4181.6,10,Honda
2004,61000,Petrol,Manual,Second,18.9,998.0,67.1,5.0,1493.43,20,Maruti
2013,107000,Diesel,Manual,First,21.03,1461.0,65.0,5.0,4420.55,11,Mahindra
2018,29161,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,47084.83,6,Mercedes-Benz
2013,32000,Petrol,Manual,First,22.5,998.0,67.04,5.0,3166.07,11,Maruti
2015,46173,Diesel,Manual,Second,19.01,1461.0,108.5,5.0,10657.11,9,Nissan
2013,47000,Diesel,Manual,First,17.8,1248.0,113.27220292815797,5.0,4898.45,11,Maruti
2017,26327,Petrol,Automatic,First,16.82,1998.0,189.08,4.0,42616.49,7,Mini Cooper
2015,70436,Diesel,Manual,First,18.342252479408305,1498.0,99.0,5.0,4301.08,9,Ford
2007,200000,Diesel,Manual,Second,17.2,1396.0,53.5,5.0,1015.53,17,Tata
2016,60813,Petrol,Manual,Second,18.6,1199.0,76.8,5.0,3966.55,8,Chevrolet
2012,45000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4301.08,12,Volkswagen
2016,64000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,8124.25,8,Maruti
2012,41284,Diesel,Manual,First,20.0,1399.0,68.05,5.0,2986.86,12,Ford
2019,14165,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,23464.76,5,Toyota
2011,67000,Diesel,Automatic,Second,11.72,2199.0,194.3,7.0,8363.2,13,Hyundai
2011,32572,Petrol,Manual,First,17.4,1497.0,117.3,5.0,4623.66,13,Honda
2018,14960,Petrol,Manual,First,18.6,1197.0,81.83,5.0,7491.04,6,Hyundai
2015,55980,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,21648.75,9,Mercedes-Benz
2013,74000,Diesel,Manual,First,25.44,936.0,57.6,5.0,3166.07,11,Chevrolet
2015,56847,Diesel,Manual,First,22.54,1396.0,88.73,5.0,8602.15,9,Hyundai
2015,121374,Diesel,Manual,First,12.99,2494.0,100.6,7.0,17084.83,9,Toyota
2013,52000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,8243.73,11,Maruti
2014,118000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,12843.49,10,Toyota
2007,72000,Petrol,Manual,Third,17.0,1086.0,113.27220292815797,5.0,1135.01,17,Hyundai
2016,33915,Petrol,Manual,First,17.8,1497.0,117.3,5.0,9665.47,8,Honda
2014,82002,Diesel,Automatic,First,17.05,1995.0,184.0,5.0,22102.75,10,BMW
2017,33000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,5675.03,7,Hyundai
2016,34000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,10095.58,8,Maruti
2012,55000,Diesel,Manual,First,20.5,1598.0,103.6,5.0,4181.6,12,Skoda
2006,160538,Diesel,Manual,First,13.1,1493.0,82.0,5.0,2150.54,18,Hyundai
2014,60000,Diesel,Manual,Second,19.91,1498.0,103.6,5.0,4420.55,10,Volkswagen
2017,49575,Petrol,Manual,First,18.7,1199.0,88.7,5.0,8566.31,7,Honda
2010,83000,Petrol,Manual,First,19.81,1086.0,68.05,5.0,2090.8,14,Hyundai
2018,51346,Diesel,Automatic,First,16.38,1995.0,183.0,5.0,26272.4,6,Hyundai
2017,43000,Diesel,Manual,First,13.68,2393.0,147.8,7.0,22281.96,7,Toyota
2011,35000,Petrol,Manual,Third,19.7,796.0,35.0,5.0,2210.27,13,Maruti
2017,27872,Petrol,Manual,Second,20.4,1197.0,81.8,5.0,7108.72,7,Maruti
2014,16514,Petrol,Manual,First,18.9,1197.0,82.0,5.0,4480.29,10,Hyundai
2012,120000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,4480.29,12,Maruti
2008,143275,Diesel,Manual,First,22.0,1582.0,126.2,5.0,3106.33,16,Hyundai
2006,99000,Petrol,Manual,First,18.342252479408305,1086.0,113.27220292815797,5.0,2090.8,18,Hyundai
2010,52000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,3345.28,14,Hyundai
2017,29819,Diesel,Automatic,First,11.57,2987.0,254.79,5.0,73225.81,7,Mercedes-Benz
2014,57000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,21505.38,10,Mercedes-Benz
2014,88500,Diesel,Manual,First,23.2,1248.0,73.94,5.0,5197.13,10,Maruti
2016,28000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,16427.72,8,Hyundai
2010,67000,Petrol,Manual,First,19.0,998.0,66.1,5.0,2389.49,14,Maruti
2016,26000,Diesel,Manual,First,19.64,1461.0,108.45,5.0,11947.43,8,Renault
2010,120000,Diesel,Manual,First,17.8,1248.0,76.0,5.0,1971.33,14,Fiat
2017,51982,Diesel,Automatic,First,16.55,2993.0,258.0,5.0,54683.39,7,BMW
2010,36000,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,3882.92,14,Hyundai
2016,47000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,15292.71,8,Toyota
2002,60000,Petrol,Manual,Third,17.3,993.0,60.0,5.0,657.11,22,Maruti
2018,31025,Diesel,Manual,First,28.4,1248.0,74.0,5.0,8542.41,6,Maruti
2013,105000,Diesel,Manual,Second,12.05,2179.0,120.0,8.0,8363.2,11,Mahindra
2017,121900,Diesel,Manual,First,22.95,1248.0,74.0,5.0,4480.29,7,Tata
2017,22695,Petrol,Manual,First,18.88,999.0,123.24,5.0,10155.32,7,Ford
2012,73000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,5197.13,12,Maruti
2016,32227,Petrol,Manual,First,22.74,796.0,47.3,5.0,3894.86,8,Maruti
2011,55000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,5029.87,13,Honda
2018,11287,Diesel,Automatic,First,12.07,2967.0,241.4,7.0,84062.13,6,Audi
2009,48000,Diesel,Automatic,Second,17.0,1896.0,105.0,5.0,3524.49,15,Skoda
2012,54308,Petrol,Manual,First,17.1,1591.0,121.3,5.0,5113.5,12,Hyundai
2009,78442,Petrol,Automatic,First,16.8,1497.0,118.0,5.0,4265.23,15,Honda
2013,46000,Diesel,Manual,First,21.9,1396.0,88.8,5.0,3715.65,11,Hyundai
2014,45051,Petrol,Automatic,First,15.0,1396.0,98.6,5.0,7120.67,10,Hyundai
2011,69000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,5615.29,13,Volkswagen
2014,49000,Petrol,Manual,First,17.4,1497.0,117.3,5.0,8243.73,10,Honda
2018,45000,Diesel,Manual,First,22.95,1248.0,74.0,5.0,6272.4,6,Tata
2015,64000,Diesel,Automatic,First,18.48,1995.0,177.0,5.0,33452.81,9,BMW
2009,60000,Petrol,Manual,First,18.9,1061.0,67.0,5.0,1612.9,15,Maruti
2015,62178,Petrol,Manual,First,18.2,1199.0,88.7,5.0,5794.5,9,Honda
